Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Myanmar,Myanmar,2002,BiocapTotGHA,2569021.37919233,0,19083366.0746875,15190465.3067376,33327991.5250544,262230.931957424,70433075.2176292,3A,MM
Myanmar,Myanmar,2003,EFConsTotGHA,2723608.57355751,4764107.57812997,16660219.7130208,1551714.10546815,16576927.0479739,327266.078343031,42603843.0964933,3A,MM
Myanmar,Myanmar,2003,BiocapTotGHA,2723608.57355751,0,19384865.9923815,15107222.2805022,32906863.5820767,259132.811178526,70381693.2396964,3A,MM
Myanmar,Myanmar,2004,EFConsTotGHA,2922733.82496657,4831584.58202258,19138407.3393926,1906624.26315534,16305680.9023103,318631.170372375,45423662.0822198,3A,MM
Myanmar,Myanmar,2004,BiocapTotGHA,2922733.82496657,0,21411174.1324057,15085913.111338,32386996.819606,257862.886802209,72064680.7751185,3A,MM
Myanmar,Myanmar,2005,EFConsTotGHA,3101340.44790198,5093857.09872171,20645880.5091557,2045526.14080183,15467593.5821462,307442.16035313,46661639.9390806,3A,MM
Myanmar,Myanmar,2005,BiocapTotGHA,3101340.44790198,0,22140763.9264538,15043592.487646,32003406.1383742,254622.025148659,72543725.0255246,3A,MM
Myanmar,Myanmar,2006,EFConsTotGHA,3325899.7991296,4822118.37480788,21767223.0432423,2128326.4684249,16185618.9294924,295443.601763466,48524630.2168606,3A,MM
Myanmar,Myanmar,2006,BiocapTotGHA,3325899.7991296,0,23726806.1086153,15008199.4846916,31703464.4925886,253265.746822251,74017635.6318474,3A,MM
Myanmar,Myanmar,2007,EFConsTotGHA,3318310.88730307,5103304.04705517,23441240.7115866,2235465.57180936,16179183.3240111,308961.525979808,50586466.0677451,3A,MM
Myanmar,Myanmar,2007,BiocapTotGHA,3318310.88730307,0,25745763.8879978,14981067.5073749,31348822.415179,252014.959354391,75645979.6572091,3A,MM
Myanmar,Myanmar,2008,EFConsTotGHA,3382742.65637658,4234862.28575001,24602870.8726797,2327276.68355408,16531263.8389324,295139.898326289,51374156.2356191,3A,MM
Myanmar,Myanmar,2008,BiocapTotGHA,3382742.65637658,0,27801346.9826061,15025668.37565,30928817.3789372,251811.004307109,77390386.397877,3A,MM
Myanmar,Myanmar,2009,EFConsTotGHA,3409345.0678922,3916420.50650736,25293858.6185349,2479873.62124828,16605696.5548088,300409.029195713,52005603.3981872,3A,MM
Myanmar,Myanmar,2009,BiocapTotGHA,3409345.0678922,0,28042157.6492559,15029085.8206303,30523228.6445807,252687.950521415,77256505.1328804,3A,MM
Myanmar,Myanmar,2010,EFConsTotGHA,3391861.01743682,4399952.08583457,27393372.5522785,2524988.26884319,16226861.2612644,312169.238439503,54249204.424097,3A,MM
Myanmar,Myanmar,2010,BiocapTotGHA,3391861.01743682,0,29039272.8554085,14997701.1071295,30168923.7260202,254607.751454714,77852366.4574497,3A,MM
Myanmar,Myanmar,2011,EFConsTotGHA,3125261.50715012,4538106.36570076,26081066.8946753,2513079.24980146,17113020.5413582,288584.510506317,53659119.0691922,3A,MM
Myanmar,Myanmar,2011,BiocapTotGHA,3125261.50715012,0,29014613.3481906,14990900.3448484,29788043.8947707,253687.13964864,77172506.2346085,3A,MM
Myanmar,Myanmar,2012,EFConsTotGHA,2991296.02203666,4826283.47379852,26138236.5594758,2476487.05345849,17372515.632206,341086.956004846,54145905.6969803,3A,MM
Myanmar,Myanmar,2012,BiocapTotGHA,2991296.02203666,0,27886335.7018348,14925931.601165,29276637.7107625,251682.217858124,75331883.2536571,3A,MM
Myanmar,Myanmar,2013,EFConsTotGHA,3097157.58040086,6864364.72192132,27603354.7630262,2439301.08745286,17539045.3558273,286080.860791946,57829304.3694205,3A,MM
Myanmar,Myanmar,2013,BiocapTotGHA,3097157.58040086,0,29755539.8123871,14936484.2309624,28963048.6912269,250997.205065123,77003227.5200424,3A,MM
Myanmar,Myanmar,2014,EFConsTotGHA,3085313.30005332,10842145.0968509,25629854.9669751,2578554.88884015,17901222.0715755,330460.935419932,60367551.2597149,3A,MM
Myanmar,Myanmar,2014,BiocapTotGHA,3085313.30005332,0,27715727.9115124,14980225.7413637,28637953.7047042,251732.250654586,74670952.9082883,3A,MM
Myanmar,Myanmar,2015,EFConsTotGHA,3045007.53925283,10926586.8239051,25517307.1391685,2609321.72346409,17795599.8286086,328413.537702365,60222236.5921014,3A,MM
Myanmar,Myanmar,2015,BiocapTotGHA,3045007.53925283,0,28097069.2777028,15033689.8109794,28290413.2168036,252630.677073912,74718810.5218125,3A,MM
Myanmar,Myanmar,2016,EFConsTotGHA,3005033.28806901,10807478.6297923,28755642.9655269,2676613.23958329,17877807.2693073,497081.159454466,63619656.5517333,3A,MM
Myanmar,Myanmar,2016,BiocapTotGHA,3005033.28806901,0,29048624.6120478,15109251.2503733,27988000.3171189,250399.536795259,75401309.0044043,3A,MM
Myanmar,Myanmar,2017,EFConsTotGHA,3004295.8396286,14449805.3774195,24894372.4270237,2647625.24883836,18117813.9492287,646517.936431879,63760430.7785708,3A,MM
Myanmar,Myanmar,2017,BiocapTotGHA,3004295.8396286,0,28531111.4919998,15169525.4532195,27675317.4294107,248966.269444907,74629216.4837034,3A,MM
Myanmar,Myanmar,2018,EFConsTotGHA,3070559.57866324,14911878.6488276,24755610.3302629,2450490.71667475,18139600.6108331,501211.840083652,63829351.7253453,3A,MM
Myanmar,Myanmar,2018,BiocapTotGHA,3070559.57866324,0,28202195.2137048,15216243.7376033,27352081.6725129,249368.868985011,74090449.0714693,3A,MM
Myanmar,Myanmar,2019,EFConsTotGHA,3077760.35764207,14703745.120153,23900153.1099681,2346407.8702057,18016720.8903446,525284.776550735,62570072.1248643,3A,MM
Myanmar,Myanmar,2019,BiocapTotGHA,3077760.35764207,0,28415878.1331065,15248028.2902517,27070503.165876,249304.151039632,74061474.0979159,3A,MM
Myanmar,Myanmar,2020,EFConsTotGHA,3046337.05708014,14074892.3634887,23527368.6024686,2210004.35091854,17809920.5866471,557462.008596562,61225984.9691997,3A,MM
Myanmar,Myanmar,2020,BiocapTotGHA,3046337.05708014,0,28144974.5318687,15248028.2902517,27070503.165876,249304.151039632,73759147.1961161,3A,MM
Myanmar,Myanmar,2021,EFConsTotGHA,3068521.32645709,12974258.5751918,23580008.5300614,2210004.40140554,17809920.5866471,557349.853154165,60200063.2729171,3A,MM
Myanmar,Myanmar,2021,BiocapTotGHA,3068521.32645709,0,28144974.5318687,15248028.2902517,27070503.165876,249304.151039632,73781331.4654931,3A,MM
Myanmar,Myanmar,2022,EFConsTotGHA,3092099.15286875,13118290.6505801,23580008.5300614,2210004.40140554,17809920.5866471,557349.853154165,60367673.174717,3A,MM
Myanmar,Myanmar,2022,BiocapTotGHA,3092099.15286875,0,28144974.5318687,15248028.2902517,27070503.165876,249304.151039632,73804909.2919047,3A,MM
